event_id,event_ts,device_id,site_id,temperature_c,battery_pct,signal_strength,alert_flag,alert_type,site_id_device,device_type,status,site_name,city,region,event_date,event_hour
E008284,2026-05-08 20:46:52,D0172,S007,18.0,0.6,-65.0,0,,S007,gateway,maintenance,Facility 7,Denver,North,2026-05-08,2026-05-08 20:00:00
E012851,2026-05-03 11:25:28,D0036,S009,12.3,23.5,-61.0,0,,S009,gateway,active,Facility 9,Seattle,East,2026-05-03,2026-05-03 11:00:00
E014653,2026-05-05 03:47:14,D0090,S002,21.9,94.1,-82.0,0,,S002,temperature_sensor,active,Facility 2,Denver,North,2026-05-05,2026-05-05 03:00:00
E004873,2026-05-09 08:53:09,D0006,S009,26.5,52.3,-80.0,0,,S009,temperature_sensor,active,Facility 9,Seattle,East,2026-05-09,2026-05-09 08:00:00
E008956,2026-05-03 20:59:03,D0125,S001,22.2,33.0,,0,,S001,camera,active,Facility 1,Seattle,North,2026-05-03,2026-05-03 20:00:00
E006985,2026-05-07 18:02:59,D0008,S009,16.5,43.1,-66.0,0,,S009,gateway,active,Facility 9,Seattle,East,2026-05-07,2026-05-07 18:00:00
E010670,2026-05-05 23:49:56,D0056,S001,15.2,44.5,-60.0,0,,S001,motion_sensor,active,Facility 1,Seattle,North,2026-05-05,2026-05-05 23:00:00
E012245,2026-05-05 05:19:48,D0169,S003,22.7,17.9,-51.0,0,,S003,motion_sensor,active,Facility 3,Portland,West,2026-05-05,2026-05-05 05:00:00
E008621,2026-05-03 21:26:08,D0079,S001,23.5,69.4,-83.0,0,,S001,motion_sensor,inactive,Facility 1,Seattle,North,2026-05-03,2026-05-03 21:00:00
E012346,2026-05-05 10:41:55,D0023,S010,22.8,88.8,-44.0,0,,S010,temperature_sensor,active,Facility 10,Portland,West,2026-05-05,2026-05-05 10:00:00
E012023,2026-05-09 03:53:37,D0027,S014,26.0,47.9,-68.0,1,offline,S014,temperature_sensor,active,Facility 14,Seattle,East,2026-05-09,2026-05-09 03:00:00
E010949,2026-05-03 06:09:31,D0123,S001,24.1,36.2,-47.0,0,,S001,motion_sensor,active,Facility 1,Seattle,North,2026-05-03,2026-05-03 06:00:00
E009844,2026-05-05 22:58:25,D0161,S004,29.6,2.9,-85.0,0,,S004,camera,active,Facility 4,Denver,West,2026-05-05,2026-05-05 22:00:00
E007886,2026-05-08 17:46:50,D0167,S009,25.5,57.6,-78.0,0,,S009,gateway,inactive,Facility 9,Seattle,East,2026-05-08,2026-05-08 17:00:00
E010519,2026-05-07 21:15:11,D0088,S011,14.5,65.2,-35.0,0,,S011,gateway,active,Facility 11,Seattle,North,2026-05-07,2026-05-07 21:00:00
E004194,2026-05-06 19:20:34,D0082,S010,20.9,80.2,-80.0,0,,S010,temperature_sensor,active,Facility 10,Portland,West,2026-05-06,2026-05-06 19:00:00
E001460,2026-05-03 09:41:59,D0120,S007,19.6,38.2,-42.0,0,,S007,motion_sensor,active,Facility 7,Denver,North,2026-05-03,2026-05-03 09:00:00
E007887,2026-05-07 19:24:12,D0075,S012,24.9,21.0,-57.0,0,,S012,gateway,active,Facility 12,Miami,East,2026-05-07,2026-05-07 19:00:00
E013485,2026-05-04 17:16:00,D0043,S004,25.6,,-79.0,0,,S004,motion_sensor,active,Facility 4,Denver,West,2026-05-04,2026-05-04 17:00:00
E002502,2026-05-04 17:08:47,D0075,S012,17.7,25.4,-66.0,0,,S012,gateway,active,Facility 12,Miami,East,2026-05-04,2026-05-04 17:00:00
E012469,2026-05-07 22:07:56,D0057,S014,28.6,93.8,-56.0,0,,S014,camera,active,Facility 14,Seattle,East,2026-05-07,2026-05-07 22:00:00
E000146,2026-05-03 09:33:38,D0043,S004,20.1,73.8,-80.0,0,,S004,motion_sensor,active,Facility 4,Denver,West,2026-05-03,2026-05-03 09:00:00
E013761,2026-05-07 13:54:43,D0009,S011,21.1,92.9,-44.0,0,,S011,gateway,active,Facility 11,Seattle,North,2026-05-07,2026-05-07 13:00:00
E002073,2026-05-03 03:54:10,D0081,S002,27.0,50.8,,0,,S002,gateway,active,Facility 2,Denver,North,2026-05-03,2026-05-03 03:00:00
E013726,2026-05-09 05:39:36,D0063,S009,22.1,85.3,-64.0,0,,S009,motion_sensor,active,Facility 9,Seattle,East,2026-05-09,2026-05-09 05:00:00
E010198,2026-05-07 05:28:22,D0085,S006,21.4,22.8,-93.0,0,,S006,gateway,active,Facility 6,Boston,East,2026-05-07,2026-05-07 05:00:00
E008214,2026-05-06 10:37:31,D0122,S007,23.2,75.8,-39.0,0,,S007,gateway,active,Facility 7,Denver,North,2026-05-06,2026-05-06 10:00:00
E007641,2026-05-03 19:54:26,D0154,S011,26.2,39.5,-55.0,0,,S011,temperature_sensor,active,Facility 11,Seattle,North,2026-05-03,2026-05-03 19:00:00
E009936,2026-05-04 14:59:56,D0069,S007,20.2,14.4,-69.0,0,,S007,temperature_sensor,active,Facility 7,Denver,North,2026-05-04,2026-05-04 14:00:00
E002621,2026-05-05 10:03:52,D0143,S001,24.9,,-42.0,0,,S001,motion_sensor,inactive,Facility 1,Seattle,North,2026-05-05,2026-05-05 10:00:00
E004970,2026-05-07 13:58:34,D0171,S004,13.0,14.6,-51.0,0,,S004,gateway,inactive,Facility 4,Denver,West,2026-05-07,2026-05-07 13:00:00
E012772,2026-05-09 04:55:11,D0044,S013,16.7,22.7,-51.0,0,,S013,gateway,active,Facility 13,Miami,South,2026-05-09,2026-05-09 04:00:00
E006059,2026-05-06 13:12:28,D0111,S003,15.6,55.3,-43.0,0,,S003,temperature_sensor,active,Facility 3,Portland,West,2026-05-06,2026-05-06 13:00:00
E012750,2026-05-06 23:29:51,D0120,S007,21.4,72.5,-36.0,0,,S007,motion_sensor,active,Facility 7,Denver,North,2026-05-06,2026-05-06 23:00:00
E002263,2026-05-05 01:36:30,D0055,S005,22.5,5.8,-68.0,0,,S005,motion_sensor,active,Facility 5,Boston,North,2026-05-05,2026-05-05 01:00:00
E011036,2026-05-08 22:24:12,D0143,S001,18.2,31.1,-52.0,1,temp_high,S001,motion_sensor,inactive,Facility 1,Seattle,North,2026-05-08,2026-05-08 22:00:00
E000221,2026-05-09 13:44:15,D0172,S007,25.3,16.8,-51.0,0,,S007,gateway,maintenance,Facility 7,Denver,North,2026-05-09,2026-05-09 13:00:00
E003445,2026-05-07 16:59:28,D0088,S011,24.8,27.8,-37.0,0,,S011,gateway,active,Facility 11,Seattle,North,2026-05-07,2026-05-07 16:00:00
E011873,2026-05-07 13:52:36,D0051,S005,15.9,39.3,-81.0,1,motion_detected,S005,temperature_sensor,active,Facility 5,Boston,North,2026-05-07,2026-05-07 13:00:00
E001550,2026-05-06 11:59:49,D0113,S011,20.1,10.9,-42.0,0,,S011,gateway,active,Facility 11,Seattle,North,2026-05-06,2026-05-06 11:00:00
E014242,2026-05-09 09:05:33,D0156,S006,20.9,99.0,-94.0,0,,S006,camera,inactive,Facility 6,Boston,East,2026-05-09,2026-05-09 09:00:00
E007953,2026-05-07 23:40:35,D0065,S009,15.3,11.6,-85.0,0,,S009,gateway,maintenance,Facility 9,Seattle,East,2026-05-07,2026-05-07 23:00:00
E014037,2026-05-07 20:07:54,D0025,S010,29.0,46.7,-80.0,0,,S010,temperature_sensor,active,Facility 10,Portland,West,2026-05-07,2026-05-07 20:00:00
E014750,2026-05-03 21:56:55,D0064,S004,17.8,74.0,-52.0,1,offline,S004,motion_sensor,inactive,Facility 4,Denver,West,2026-05-03,2026-05-03 21:00:00
E010726,2026-05-07 04:21:17,D0081,S002,25.6,85.9,-40.0,0,,S002,gateway,active,Facility 2,Denver,North,2026-05-07,2026-05-07 04:00:00
E006029,2026-05-08 00:58:36,D0034,S011,27.3,37.7,-37.0,1,offline,S011,temperature_sensor,active,Facility 11,Seattle,North,2026-05-08,2026-05-08 00:00:00
E007796,2026-05-08 03:15:32,D0098,S011,16.0,35.4,-68.0,0,,S011,camera,active,Facility 11,Seattle,North,2026-05-08,2026-05-08 03:00:00
E010257,2026-05-02 15:46:19,D0087,S003,29.0,89.9,-41.0,0,,S003,temperature_sensor,active,Facility 3,Portland,West,2026-05-02,2026-05-02 15:00:00
E004471,2026-05-06 13:10:03,D0014,S009,14.4,,-61.0,0,,S009,camera,active,Facility 9,Seattle,East,2026-05-06,2026-05-06 13:00:00
E001519,2026-05-05 03:47:26,D0038,S002,19.3,80.6,-43.0,0,,S002,temperature_sensor,active,Facility 2,Denver,North,2026-05-05,2026-05-05 03:00:00
E003417,2026-05-07 19:22:46,D0062,S008,17.9,69.5,-37.0,1,motion_detected,S008,temperature_sensor,maintenance,Facility 8,Denver,East,2026-05-07,2026-05-07 19:00:00
E006414,2026-05-09 04:11:48,D0145,S011,18.8,43.0,-43.0,0,,S011,motion_sensor,active,Facility 11,Seattle,North,2026-05-09,2026-05-09 04:00:00
E008559,2026-05-04 01:38:20,D0123,S001,26.6,,-39.0,0,,S001,motion_sensor,active,Facility 1,Seattle,North,2026-05-04,2026-05-04 01:00:00
E011942,2026-05-04 13:31:38,D0116,S012,30.6,79.4,-47.0,0,,S012,temperature_sensor,inactive,Facility 12,Miami,East,2026-05-04,2026-05-04 13:00:00
E007249,2026-05-07 20:04:41,D0125,S001,13.6,76.2,-47.0,0,,S001,camera,active,Facility 1,Seattle,North,2026-05-07,2026-05-07 20:00:00
E002561,2026-05-09 13:25:59,D0151,S002,27.5,13.3,-54.0,0,,S002,temperature_sensor,active,Facility 2,Denver,North,2026-05-09,2026-05-09 13:00:00
E003319,2026-05-06 23:42:12,D0017,S012,22.6,89.8,,0,,S012,gateway,maintenance,Facility 12,Miami,East,2026-05-06,2026-05-06 23:00:00
E014226,2026-05-06 19:57:11,D0156,S006,25.3,0.3,-86.0,0,,S006,camera,inactive,Facility 6,Boston,East,2026-05-06,2026-05-06 19:00:00
E008031,2026-05-08 20:59:35,D0134,S014,18.6,35.9,-78.0,0,,S014,temperature_sensor,active,Facility 14,Seattle,East,2026-05-08,2026-05-08 20:00:00
E003301,2026-05-06 03:28:39,D0109,S007,17.2,41.0,-94.0,0,,S007,motion_sensor,inactive,Facility 7,Denver,North,2026-05-06,2026-05-06 03:00:00
E000828,2026-05-06 06:20:32,D0018,S013,14.5,,-68.0,0,,S013,gateway,maintenance,Facility 13,Miami,South,2026-05-06,2026-05-06 06:00:00
E001406,2026-05-07 15:49:49,D0164,S006,16.9,68.4,,1,battery_low,S006,gateway,active,Facility 6,Boston,East,2026-05-07,2026-05-07 15:00:00
E012668,2026-05-05 22:39:56,D0066,S008,20.2,51.4,-37.0,0,,S008,motion_sensor,inactive,Facility 8,Denver,East,2026-05-05,2026-05-05 22:00:00
E011258,2026-05-03 02:00:46,D0127,S006,18.3,89.7,-68.0,0,,S006,motion_sensor,active,Facility 6,Boston,East,2026-05-03,2026-05-03 02:00:00
E009142,2026-05-05 08:37:31,D0153,S011,18.9,94.1,-87.0,0,,S011,gateway,active,Facility 11,Seattle,North,2026-05-05,2026-05-05 08:00:00
E001059,2026-05-05 09:31:20,D0024,S001,18.6,66.0,-47.0,0,,S001,gateway,active,Facility 1,Seattle,North,2026-05-05,2026-05-05 09:00:00
E001213,2026-05-08 00:23:21,D0173,S009,14.0,85.7,-40.0,1,battery_low,S009,camera,active,Facility 9,Seattle,East,2026-05-08,2026-05-08 00:00:00
E002775,2026-05-08 08:19:33,D0065,S009,15.0,13.0,-79.0,0,,S009,gateway,maintenance,Facility 9,Seattle,East,2026-05-08,2026-05-08 08:00:00
E011056,2026-05-08 14:32:51,D0053,S013,22.9,95.8,-90.0,1,offline,S013,gateway,active,Facility 13,Miami,South,2026-05-08,2026-05-08 14:00:00
E005100,2026-05-07 22:05:09,D0109,S007,19.2,32.8,-50.0,0,,S007,motion_sensor,inactive,Facility 7,Denver,North,2026-05-07,2026-05-07 22:00:00
E004347,2026-05-07 13:48:17,D0077,S005,25.3,26.2,,0,,S005,gateway,active,Facility 5,Boston,North,2026-05-07,2026-05-07 13:00:00
E006129,2026-05-03 14:35:43,D0151,S002,31.4,53.7,-39.0,0,,S002,temperature_sensor,active,Facility 2,Denver,North,2026-05-03,2026-05-03 14:00:00
E007410,2026-05-05 12:39:08,D0171,S004,22.8,16.8,-59.0,0,,S004,gateway,inactive,Facility 4,Denver,West,2026-05-05,2026-05-05 12:00:00
E002295,2026-05-04 15:17:33,D0074,S008,23.3,,-47.0,0,,S008,camera,inactive,Facility 8,Denver,East,2026-05-04,2026-05-04 15:00:00
E003821,2026-05-02 20:01:04,D0032,S003,25.1,44.8,,0,,S003,motion_sensor,active,Facility 3,Portland,West,2026-05-02,2026-05-02 20:00:00
E001967,2026-05-05 06:09:41,D0040,S008,22.4,29.0,-94.0,1,motion_detected,S008,temperature_sensor,inactive,Facility 8,Denver,East,2026-05-05,2026-05-05 06:00:00
E014396,2026-05-08 08:36:08,D0050,S003,29.0,17.6,-46.0,1,motion_detected,S003,temperature_sensor,active,Facility 3,Portland,West,2026-05-08,2026-05-08 08:00:00
